Title,DOI,Country,Qualitative data methods,How the clinical trial Used Qualitative Data?,Barriers to the use of qualitative data,Raw qualitative data shared?,Where is the data shared?
"Mii-vitaliSe: a pilot randomised controlled trial of a home gaming system (Nintendo Wii) to increase activity levels, vitality and well-being in people with multiple sclerosis",10.1136/bmjopen-2017-016966,UK,Semi-structured interviews,Yes; qualitative data was used to explore participants' and facilitators' experiences of the intervention delivery and acceptability through semi-structured interviews conducted at 6 and 12 months follow-up.,Not mentioned,No,Not applicable
Perceptions and experiences of chair-based yoga by older adults with multimorbiditya qualitative process evaluation of the Gentle Years Yoga randomised controlled trial,10.1186/s12877-025-05782-3,UK,"one-to-one interviews, class observations, thematic analysis, longitudinal analysis","Yes; qualitative data was used to explore participants' perceptions and experiences of the chair-based yoga programme through interviews and observations, analyzed thematically and longitudinally to understand health impacts and sustainability of yoga practice.",Not mentioned,No,Not applicable
"Acceptability of a nurse-led, person-centred, anticipatory care planning intervention for older people at risk of functional decline: A qualitative study",10.1371/journal.pone.0251978,Ireland (Northern Ireland and Republic of Ireland),"interviews, thematic analysis","Yes; qualitative interviews were conducted with intervention participants at 10-week follow-up to explore the acceptability of the ACP intervention, analyzed using thematic analysis.",Not mentioned,No,Not applicable
"Journeying through Dementia Randomised Controlled Trial of a Psychosocial Intervention for People Living with Early Dementia: Embedded Qualitative Study with Participants, Carers and Interventionists",10.2147/CIA.S293921,UK,"semi-structured interviews, framework analysis, co-researcher data analysis workshops","Yes; qualitative data was used to explore experiences of participants, carers, and interventionists through interviews and co-researcher workshops to identify barriers, facilitators, and mechanisms of change in the intervention.",Not mentioned,No,Not applicable
How is a specialist depression service effective for persistent moderate to severe depressive disorder?: a qualitative study of service user experience,10.1186/s12888-018-1708-9,England,"semi-structured interviews, thematic analysis, grounded theory",Yes; qualitative data was used to explore service user experiences through semi-structured interviews and inductive thematic analysis to identify factors explaining the effectiveness of the specialist depression service compared to treatment as usual.,Not mentioned,No,Not applicable
"A cluster-randomized multi-level intervention to increase latrine use and safe disposal of child feces in rural Odisha, India: the Sundara Grama research protocol",10.1186/s12889-019-6601-z,India,"interviews, process evaluation, qualitative research","Yes; qualitative data was used to understand participant perspectives on the intervention, assess intervention delivery, identify spillover effects, and help explain trial findings through process evaluation and post-endline data collection.",Not mentioned,No,Not applicable
A community health-coaching referral program following discharge from treatment for chronic low back pain -a qualitative study of the patient's perspective,10.1186/s12913-024-11509-8,Australia,"semi-structured interviews, thematic analysis",Yes; qualitative data was used to explore patients' perspectives on the health coaching program through interviews and thematic analysis to identify themes about the intervention and outcomes.,Not mentioned,No,Not applicable
The feasibility of early pulmonary rehabilitation and activity after COPD exacerbations: external pilot randomised controlled trial,10.3310/hta22110,UK,"interviews, qualitative case study","Yes; qualitative data were used through interviews and case studies to explore patient experiences of exercise and trial participation, and to assess acceptability of interventions.","Small sample size, difficulty in delivering in-hospital exercises due to staff availability and early discharge, recruitment challenges",No,Not applicable
Experiences of trial participants and site staff of participating in and running a large randomised trial within fertility (the endometrial scratch trial): a qualitative interview study,10.1136/bmjopen-2021-051698,UK,"interviews, thematic analysis","Yes; qualitative data was used to explore the experiences of trial participants and site staff regarding recruitment and participation in the trial through semi-structured interviews, providing insights into participant understanding, staff challenges, and information delivery.",Recall bias due to time lag between trial participation and interview; potential bias as only participants who completed the trial were interviewed; not explicitly mentioned but implied challenges in conveying equipoise and participant understanding.,No,Not applicable
Maximising recruitment of research participants into a general practice based randomised controlled trial concerning lung diagnosis-staff insights from an embedded qualitative study,10.1186/s13063-022-06125-y,UK,"Qualitative interviews, framework analysis","Yes; qualitative interviews with general practice staff explored feasibility of randomising patients, barriers to recruitment, staff experiences and suggestions for trial delivery improvement.",Not mentioned,No,Not applicable
Explaining the mixed findings of a randomised controlled trial of telehealth with centralised remote support for heart failure: multi-site qualitative study using the NASSS framework,10.1186/s13063-020-04817-x,UK,"interviews, observation, document analysis, thematic analysis (informed by NASSS framework)","Yes; qualitative data was used to explain why the telehealth intervention was implemented and adopted differently across multiple sites by interviewing and observing patients, carers, clinicians, and researchers, and analyzing documents to understand contextual factors influencing trial outcomes.",Not mentioned,No,Not applicable
Qualitative study of patient experiences of mental distress during TB investigation and treatment in Zambia,10.1186/s40359-022-00881-x,Zambia,"in-depth interviews, thematic analysis",Yes; qualitative data was used to explore lived mental health experiences of TB patients through in-depth interviews and thematic analysis to identify multi-layered drivers of mental distress during TB investigation and treatment.,Not mentioned,No,Not applicable
Participants' perspectives of being recruited into a randomised trial of a weight loss intervention before colorectal cancer surgery: a qualitative interview study,10.1186/s12885-024-12464-7,UK,"semi-structured interviews, rapid analysis, mind-mapping, thematic analysis","Yes; qualitative data was used to explore patients' lived experiences and perspectives on recruitment into the trial through interviews and thematic analysis to identify motivations, concerns, and recruitment process issues.",Not mentioned,No,Not applicable
Facilitating the transition from hospital to home after hip fracture surgery: a qualitative study from the HIP HELPER trial,10.1186/s12877-024-05390-7,UK,"semi-structured interviews, Framework Analysis","Yes; qualitative data was used to explore challenges and potential solutions in the transition from hospital to home post-hip fracture surgery from the perspectives of patients, carers, and health professionals through interviews and thematic framework analysis.",Small sample size due to feasibility study and COVID-19 pandemic challenges; not returning transcripts to participants for review; no mention of other barriers such as cost or ethics.,No,Not applicable
Task-shifting to improve asthma education for Malawian children: a qualitative analysis,10.1186/s12960-021-00576-1,Malawi,"focus groups, individual interviews, thematic analysis","Yes; qualitative data was used to explore experiences of children, carers, and lay-educators regarding the acceptability, facilitators, barriers, and perceived value of the asthma education intervention delivered by lay-educators.",Low education levels among carers requiring individualized approaches; not explicitly mentioning other barriers such as cost or generalisability,No,Not applicable
Parents' experiences following conversations about their young child's weight in the primary health care setting: a study within the STOP project,10.1186/s12889-022-13803-8,Sweden,"semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore parents' emotional experiences and reactions following conversations with primary care nurses about their child's overweight, through interviews analyzed thematically to identify key themes.",Not mentioned,No,Not applicable
Cognitive behavioural therapy for the management of inflammatory bowel disease-fatigue with a nested qualitative element: study protocol for a randomised controlled trial,10.1186/s13063-017-1926-3,UK,"Interviews, thematic analysis","Yes; qualitative data was used in a nested qualitative study to evaluate patient and therapist experience, and healthcare professionals' perceptions of the intervention.",Not mentioned,No,Not applicable
Paramedic experiences of using an enhanced stroke assessment during a cluster randomised trial: a qualitative thematic analysis,10.1136/emermed-2019-209392,UK,"Semi-structured interviews, thematic analysis, constant comparative method","Yes; qualitative data was used to explore paramedics' views and experiences of using the enhanced stroke assessment pathway during the trial, identifying themes related to assessment, handover, and barriers encountered.",Not mentioned,No,Not applicable
From a research trial to routine practice: stakeholders' perceptions and experiences of referrals to the National Exercise Referral Scheme (NERS) in Wales,10.1186/s12913-021-07266-7,"Wales, UK","semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore perceptions and experiences of referral to NERS among referrers, scheme deliverers, and patients through interviews and thematic analysis to identify barriers and facilitators in the referral process.",Not mentioned,No,Not applicable
A qualitative evaluation of the effectiveness of behaviour change techniques used in the Healthy Eating and Active Lifestyles for Diabetes (HEAL-D) intervention,10.1186/s12889-025-21767-8,UK,"focus groups, interviews, framework analysis","Yes; qualitative data was used to explore participant experiences, perceptions, and the impact of behaviour change techniques through focus groups and interviews, analyzed using framework analysis to understand how BCTs supported behaviour change.",Not mentioned,No,Not applicable
A qualitative evaluation of hospital versus community-based management of patients on injectable treatments for tuberculosis,10.1186/s12889-018-6015-3,Malawi,"phenomenographic methods, in-depth interviews, key informant interviews, observations, thematic content analysis","Yes; qualitative data was used to evaluate patient and guardian experiences of hospital versus community-based care through interviews, observations, and thematic analysis to identify key themes related to treatment and care delivery.",Not mentioned,No,Not applicable
The acceptability and feasibility of a randomised trial exploring approaches to managing impacted fetal head during emergency caesarean section: a qualitative study,10.1186/s12884-023-05444-5,UK,"semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore health professionals' and women's views on the acceptability and feasibility of an RCT for managing impacted fetal head during emergency CS, including barriers and facilitators to recruitment and protocol adherence.",Not mentioned,No,Not applicable
Women's views about physical activity as a treatment for vasomotor menopausal symptoms: a qualitative study,10.1186/s12905-020-01063-w,UK,"semi-structured interviews, constant comparison analysis",Yes; qualitative data was used to explore women's views and experiences of physical activity as a treatment for menopausal symptoms through in-depth interviews embedded within the RCT.,Not mentioned,No,Not applicable
Evaluation of a Novel e-Learning Program for Physiotherapists to Manage Knee Osteoarthritis via Telehealth: Qualitative Study Nested in the PEAK (Physiotherapy Exercise and Physical Activity for Knee Osteoarthritis) Randomized Controlled Trial,10.2196/25872,Australia,"semistructured interviews, thematic analysis","Yes; qualitative data was used to explore physiotherapists' experiences and perceptions of an e-learning program for knee OA management delivered via telehealth, through interviews analyzed thematically.",Not mentioned,No,Not applicable
SCI peer health coach influence on self-management with peers: a qualitative analysis,10.1038/sc.2017.104,USA,"Directed content analysis, interviews",Yes; qualitative data was used through directed content analysis of 504 tele-coaching calls and post-intervention telephone interviews to explore peer health coach roles and communication strategies in a clinical trial.,Not mentioned,No,Not applicable
Lifestyle Matters Randomized Controlled Trial of a Preventive Health Intervention for Older People: Qualitative Sub Study with Participants and Intervention Facilitators,10.2147/CIA.S232108,UK,"interviews, deductive framework analysis","Yes; qualitative data was used to explore acceptability, experiences, and short-term impact of the intervention through individual interviews with participants and facilitators, helping to explain quantitative trial results.",Not mentioned,No,Not applicable
Deferred consent in emergency obstetric research: findings from qualitative interviews with women and recruiters in the ACROBAT pilot trial for severe postpartum haemorrhage,10.1136/bmjopen-2021-054787,UK,interviews,Yes; qualitative interviews were conducted with women participants and recruiters to explore experiences and views on deferred consent procedures in the clinical trial.,Small sample size of staff interviewed; language barrier as only English-speaking women were interviewed; difficulty communicating trial information when interpreters were used.,No,Not applicable
The development of the Australian national Palliative Care Clinical Studies Collaborative 'Integrating Qualitative Research into Clinical Trials Framework',JPM-2020-0480.R1_Proof_hi.grobid,Australia,"interviews, focus groups","Yes; qualitative data was used to develop a practical framework integrating qualitative research into clinical trial design and conduct, including sample qualitative questions at each trial phase to improve recruitment, conduct, outcomes, interpretation, and implementation.",Difficulty in interpretation due to differing epistemologies between qualitative and quantitative research; infrequent inclusion of qualitative researchers in trial teams; not empirically tested framework; limited to interviews and focus groups as main methods.,No,Not applicable
Does early intervention improve outcomes in the physiotherapy management of lumbar radicular syndrome? Results of the POLAR pilot randomised controlled trial,10.1136/bmjopen-2018-021631,England,Stakeholder interviews,"Yes; qualitative data was used through embedded stakeholder interviews to gather patient and clinician feedback to inform study design, recruitment strategies, intervention iteration, and interpretation of results.",Not mentioned,No,Not applicable
Patients' and healthcare workers' recommendations for a surgical patient safety checklist a qualitative study,10.1186/s12913-020-4888-1,Norway,"focus groups, content analysis",Yes; qualitative data was used to gather experiences and perspectives from patients and healthcare workers via focus group interviews to identify risk elements for a surgical patient safety checklist.,Not mentioned,No,Not applicable
Supporting people with intellectual disabilities in psychological therapies for depression: a qualitative analysis of supporters' experiences,10.1186/1471-2288-13-117,UK,"Semi-structured interviews, Framework analysis","Yes; qualitative data was used to explore supporters' experiences of supporting people with intellectual disabilities receiving behavioural activation or guided self-help therapies for depression, through interviews analyzed using framework analysis to understand expectations, views, relationships, and perceived changes.",Not mentioned,No,Not applicable
Implementation of CHIldren with acute COugh (CHICO) intervention to improve antibiotics management: qualitative study,10.3399/BJGP.2023.0330,England,"interviews, thematic analysis","Yes; qualitative data was used to explore clinicians' acceptability, use, and embedding of the CHICO intervention through interviews and thematic analysis guided by Normalisation Process Theory.",Not mentioned,No,Not applicable
Patient views about the impact of ulcerative colitis and its management with drug treatment and surgery: a nested qualitative study within the CONSTRUCT trial,10.1186/s12876-019-1085-y,UK,"Semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore patient experiences and perceptions of ulcerative colitis treatment, including interviews conducted at 3 and 12 months post-treatment to understand quality of life, treatment impact, and patient priorities.",Not mentioned,No,Not applicable
Progressive functional exercise versus best practice advice for adults aged 50 years or over after ankle fracture: protocol for a pilot randomised controlled trial in the UK -the Ankle Fracture Treatment: Enhancing Rehabilitation (AFTER) study,10.1136/bmjopen-2019-030877,UK,"one-to-one interviews, therapist focus group",Yes; qualitative data was used to assess intervention acceptability and fidelity through participant interviews and a therapist focus group embedded within the pilot RCT.,Not mentioned,No,Not applicable
'I can do this': a qualitative exploration of acceptability and experiences of a physical activity behaviour change intervention in people with multiple sclerosis in the UK,10.1136/bmjopen-2019-029831,UK,"semi-structured interviews, Framework analysis, purposive sampling, negative case analysis, peer-debriefing, reflexive diary",Yes; qualitative data was used to explore participant experiences and acceptability of the iStep-MS intervention through one-to-one semi-structured interviews analyzed using Framework analysis to identify themes related to physical activity behaviour change.,Generalisability limited due to homogenous ethnic background and recruitment from a single centre; other barriers not explicitly mentioned.,No,Not applicable
Carer preferences of route of administration of transmucosal diamorphine and willingness to take part in a randomised controlled trial: an interview study (DIPPER),10.1186/s12904-022-00951-2,UK,"semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore parents' experiences and preferences regarding routes of administration of diamorphine, barriers and facilitators to use, and willingness to participate in a randomised controlled trial through in-depth interviews and thematic analysis.","Challenges included small sample size, difficulty in interpreting pain/distress signals especially in non-verbal children, and recruitment/logistical issues for trials.",No,Not applicable
"Developing and evaluating multimedia information resources to improve engagement of children, adolescents, and their parents with trials (TRECA study): Study protocol for a series of linked randomised controlled trials",10.1186/ISRCTN73136092,UK,"focus groups, individual interviews, participatory design","Yes; qualitative data was used in the first phase to inform the development and iterative user testing of multimedia information resources with children, adolescents, and their parents to improve engagement in clinical trials.",Not mentioned,No,Not applicable
The AMBER care bundle for hospital inpatients with uncertain recovery nearing the end of life: the ImproveCare feasibility cluster RCT,10.3310/hta23550,UK,"interviews, focus groups, non-participant observation","Yes; qualitative data was used to explore patients' and relatives' insights into care, communication quality, involvement in decisions, observe multidisciplinary team meetings, and gather health-care professionals' experiences and views on the AMBER care bundle through focus groups.","Difficulty interpreting eligibility criteria, high attrition due to patient discharge, challenges in recruitment due to mental capacity issues, and complexity of prognostic criteria.",No,Not applicable
General practitioners' views and experiences in caring for patients after sepsis: a qualitative interview study,10.1136/bmjopen-2020-040533,Germany,Semistructured interviews,Yes; qualitative data was used to explore GPs' views and experiences of caring for postsepsis patients and their participation in an outreach training programme through semistructured interviews.,Some interviews were short due to GPs having limited time; small sample size (only 14 GPs in one metropolitan area) limits generalisability.,No,Not applicable
From sensitization to adoption? A qualitative study of the implementation of a digitally supported intervention for clinical decision making in polypharmacy,10.1186/s13012-020-01043-6,Germany,"interviews, focus groups, content analysis, documentary method",Yes; qualitative data was used to understand how the digital intervention influenced physicians' behavior and decision-making processes in polypharmacy through interviews and focus groups analyzed by content analysis and documentary method to identify adoption pathways and behavior-related outcomes.,Not mentioned,No,Not applicable
University of Dundee 'Intensive Care Unit Survivorship' -a constructivist grounded theory of surviving critical illness,10.1111/jocn.13659,UK,"interviews, constructivist grounded theory, constant comparison, thematic analysis",Yes; qualitative data was used through longitudinal interviews analyzed via constructivist grounded theory to develop a theoretical understanding of ICU survivorship and recovery processes over one year post-discharge.,Not mentioned,No,Not applicable
Mechanical versus manual chest compressions in the treatment of inhospital cardiac arrest patients in a nonshockable rhythm: a randomised controlled feasibility trial (COMPRESS-RCT),10.1186/s13049-018-0538-6,UK,Semi-structured interviews,Yes; qualitative data was used through semi-structured interviews with hospital staff to explore facilitators and barriers to study recruitment.,Not mentioned,No,Not applicable
A realist evaluation approach to explaining the role of context in the impact of a complex eHealth intervention for improving prevention of cardiovascular disease,10.1186/s12913-020-05597-5,Australia,"interviews, thematic analysis",Yes; qualitative data from interviews were used to conduct a realist evaluation examining contextual factors influencing behaviour change and mechanisms of intervention impact through thematic analysis of participant narratives.,Not mentioned,No,Not applicable
The experiences of therapists providing cognitive behavioral therapy (CBT) for dissociative seizures in the CODES randomized controlled trial: A qualitative study,10.1016/j.yebeh.2020.106943,UK,"interviews, thematic framework analysis","Yes; qualitative data was used to explore therapists' experiences delivering DS-specific CBT within the RCT, identifying themes related to intervention applicability, patient complexities, protocol limitations, and treatment delivery challenges.",Not mentioned,No,Not applicable
The COMMAND trial of cognitive therapy for harmful compliance with command hallucinations (CTCH): a qualitative study of acceptability and tolerability in the UK,10.1136/bmjopen-2018-021657,UK,"semistructured interviews, thematic analysis","Yes; qualitative data was used to explore service user experiences, acceptability, and tolerability of the CTCH intervention through semistructured interviews analyzed to identify themes about helpful aspects and concerns with therapy.",Not mentioned,No,Not applicable
Parents' experiences of using a hybrid closed-loop system (CamAPS FX) to care for a very young child with type 1 diabetes: qualitative study,10.1016/j.diabres.2022.109877,"Austria, Germany, Luxembourg, UK","Interviews, thematic analysis","Yes; qualitative data was used through in-depth interviews with parents to explore their experiences and perceptions of using the hybrid closed-loop system, analyzed using a descriptive thematic approach to identify key themes and insights.",Not mentioned,No,Not applicable
Probiotics and Synbiotics Administered to Young Infants: Perceptions and Acceptability Amongst Carers and Healthcare Workers in Western Kenya,10.3390/nu17030495,Kenya,"Semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore perceptions and acceptability of pro/synbiotic administration among mothers/carers, Peer Mothers, and healthcare workers through interviews analyzed thematically.","Barriers included working mothers' commitments, adverse community opinions, and lack of engagement from fathers.",No,Not applicable
Context and mechanisms that enable implementation of specialist palliative care Needs Rounds in care homes: results from a qualitative interview study,10.1186/s12904-021-00812-4,Australia,"Semi-structured interviews, thematic analysis","Yes; qualitative data was used through semi-structured interviews with care home staff to explore contexts and mechanisms facilitating implementation of Needs Rounds, analyzed using thematic analysis to identify factors affecting implementation and outcomes.",Not mentioned,No,Not applicable
Application of the behaviour-centred design to understand facilitators and deterrents of hand hygiene among healthcare providers: findings from a formative phase of a cluster randomised trial in the Kampala Metropolitan area,10.1186/s12913-024-11512-z,Uganda,"semi-structured interviews, key informant interviews, thematic analysis",Yes; qualitative data was used to explore facilitators and deterrents to hand hygiene compliance among healthcare providers through interviews and thematic analysis to inform intervention design in the clinical trial.,Not mentioned,No,Not applicable
Process evaluation for OptiBIRTH,10.1186/s13063-017-2401-x,Ireland; Italy; Germany,,"Yes; qualitative data were used to explore perceived experiences of stakeholders (pregnant women,  midwives,  obstetricians) through ethnography and observation to understand intervention delivery and reception)",Not mentioned,No,Not applicable
Using a theory-informed approach to explore patient and staff perspectives on factors that influence clinical trial recruitment for patients with cirrhosis and small oesophageal varices,10.1371/journal.pone.0263288,UK,"Semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore patient and staff perspectives on factors influencing recruitment to the clinical trial through semi-structured interviews and thematic analysis, informing tailored interventions to improve recruitment.",Ethical constraints due to participant confidentiality and risk of identification limit data sharing; small sample size and sensitivity of patient population also pose challenges.,No,Not applicable
Acceptability and implementation potential of colorectal cancer screening and health literacy training: A qualitative study among general practitioners in deprived areas,10.1371/journal.pone.0317910,France,"Semi-structured interviews, Thematic analysis","Yes; qualitative data was used to capture opinions, experiences, and recommendations of general practitioners regarding the e-learning training programme on health literacy and colorectal cancer screening, providing in-depth insights into acceptability and implementation potential.",Ethics constraints due to participant consent prevented public sharing of raw data; data sharing subject to approval and agreements.,No,Data available upon request subject to Trial Steering Committee and Ethics Committee approval; not publicly shared
"Self-regulation in Barth syndrome: a qualitative perspective of adolescents, adults and parents in the U.K",10.1186/s13023-021-02027-5,UK,"semi-structured interviews, thematic analysis","Yes; qualitative data was used to explore self-regulation, coping strategies, and interpersonal responses of participants and families within the clinical trial context through in-depth interviews and thematic analysis.",Not mentioned,No,Not applicable
A feasibility randomised controlled trial of a Fibromyalgia Self-management Programme for adults in a community setting with a nested qualitative study (FALCON),10.1186/s12891-022-05529-w,UK,"Semi-structured interviews, Thematic analysis","Yes; qualitative data was used through semi-structured interviews with patients and therapists to explore the acceptability and feasibility of delivering the FSMP in a community setting, identifying themes related to barriers, facilitators, content, delivery, and trial processes.",Not mentioned,No,Not applicable
Experience of an upper limb training program with a non-immersive virtual reality system in patients after stroke:a qualitative study,10.1016/j.physio.2017.03.001,Switzerland,"semi-structured interviews, phenomenological descriptive approach, thematic analysis","Yes; qualitative data was used to explore patients' lived experiences, perceptions of the VR training system, and the role of the therapist through interviews and thematic analysis.","Small sample size, slow recruitment, limited generalisability",No,Not applicable
Development of personal air pollution exposure report-back materials to Household Air Pollution Intervention Network (HAPIN) trial participants in Guatemala and Rwanda: a qualitative study,10.1136/bmjgh-2024-017672,Guatemala; Rwanda,"participant observations, individual interviews, group interviews, dynamic working groups, focus groups",Yes; qualitative data was used to collaboratively develop and iteratively refine contextually appropriate and comprehensible materials to report back individual air pollution exposure results to trial participants with limited literacy.,Not mentioned,No,Not applicable
Development of an education and self-management intervention for chronic headache -CHESS trial (Chronic Headache Education and Self-management Study),10.1186/s10194-019-0980-5,UK,"interviews, thematic analysis",Yes; qualitative interviews were conducted with participants to gather feedback and lived experiences which informed the intervention design and refinement for the clinical trial.,"Small sample size (7 interviewees), difficulty in ascertaining exact medication use, and variability in helpfulness of treatments among participants.",No,Not applicable
User engagement with self-monitoring technologies in individuals at moderate-to-high risk of developing type 2 diabetes: a protocol for a randomised controlled trial,10.1136/bmjopen-2017-018282,UK,Semistructured interviews,Yes; semistructured interviews were conducted to explore participant experiences using the self-monitoring technologies.,Not mentioned,No,Not applicable
Clinicians' views and experiences of offering two alternative consent pathways for participation in a preterm intrapartum trial: a qualitative study,10.1186/s13063-017-1940-5,UK,"semi-structured interviews, inductive systematic thematic analysis",Yes; qualitative data was used to explore clinicians' views and experiences of offering two consent pathways through interviews and thematic analysis to identify key themes related to consent processes in a clinical trial setting.,Not mentioned,No,Not applicable
"The experience of trial participation, treatment approaches and perceptions of change among participants with dissociative seizures within the CODES randomized controlled trial: A qualitative study",10.1016/j.yebeh.2020.107230,UK,"semistructured interviews, thematic framework analysis","Yes; qualitative data was used to explore participants' experiences of trial participation, treatment approaches (CBT and SMC), and perceptions of change through thematic analysis of interview data.",Not mentioned,No,Not applicable
Living with an artificial eye: qualitative insights into patient and family member experiences,10.1007/s10792-024-02933-0,UK,"semi-structured interviews, reflexive thematic analysis",Yes; qualitative data was used to explore the lived experiences and quality of life impacts on artificial eye users and their family members through in-depth interviews and thematic analysis of transcripts.,Not mentioned,No,Not applicable
Users' experiences of an online intervention for bipolar disorder: important lessons for design and evaluation,10.1136/eb-2017-102754,UK,"telephone-based in-depth interviews, framework analysis","Yes; qualitative data was used to understand users' motivations, barriers to participation, and engagement with the ERPonline intervention through thematic analysis of interview transcripts.","Barriers included extensive assessments, practical difficulties, mood, and individual preferences; no mention of other barriers such as cost or ethics.",No,Not applicable
Cardiac Patients' Experiences and Perceptions of Social Media: Mixed-Methods Study,10.2196/jmir.8081,Australia,"Focus groups, thematic analysis",Yes; qualitative data was used through six focus group interviews to explore cardiac patients' experiences and perspectives on using Facebook to support their cardiac health and secondary prevention efforts.,Not mentioned,No,Not applicable
"I know this is on my chest, let's act: a qualitative study exploring self-management of acute COPD exacerbations with a sputum colour chart to reduce unnecessary antibiotic use",10.1038/s41533-024-00398-3,UK,"interviews, thematic analysis, Framework analysis","Yes; qualitative interviews with patients and healthcare professionals were conducted to explore the acceptability of the sputum colour chart and self-management plans, with thematic analysis used to identify key themes related to self-management practices and antibiotic use.","Small sample size due to COVID-19 pandemic affecting recruitment and funding; Not explicitly mentioned other barriers such as cost, subjectivity, or ethics.",No,Not applicable
"TEST (Trial of Eczema allergy Screening Tests): protocol for feasibility randomised controlled trial of allergy tests in children with eczema, including economic scoping and nested qualitative study",10.1136/bmjopen-2018-028428,UK,interviews,"Yes; qualitative data was used through nested interviews with parents and GPs to interpret and explain quantitative feasibility findings and to generate new knowledge about food allergy, allergy tests, and dietary modification in children with eczema.",Generalisability may be limited due to single-centre study setting; no other barriers explicitly mentioned.,No,Not applicable
I've made this my lifestyle now: a prospective qualitative study of motivation for lifestyle change among people with newly diagnosed type two diabetes mellitus,10.1186/s12889-018-5114-5,UK,"semi-structured interviews, deductive directed content analysis","Yes; qualitative data from semi-structured interviews were analyzed to explore patients' motivational experiences and narratives regarding lifestyle change after diagnosis, using self-determination theory as a framework.",Not mentioned,No,Not applicable
Process evaluation of a randomised controlled trial of a pharmacological strategy to improve hypertension control: protocol for a qualitative study,10.1136/bmjopen-2018-022317,Sri Lanka,"semistructured in-depth interviews, framework analysis","Yes; qualitative data was used to conduct a process evaluation through semistructured interviews with trial participants and healthcare professionals to understand implementation factors, mechanisms of effect, contextual factors, and barriers/facilitators to the intervention.",Not mentioned,No,Not applicable
Clinical effectiveness of pharmacy-led versus conventionally delivered antiviral treatment for hepatitis C in patients receiving opioid substitution therapy: a study protocol for a pragmatic cluster randomised trial,10.1136/bmjopen-2017-021443,Scotland,qualitative research interviews,Yes; qualitative interviews were conducted with clients and health professionals to assess the acceptability of the pharmacist-led pathway.,Not mentioned,No,Not applicable
Implementing self-management: a mixed methods study of women's experiences of a postpartum hypertension intervention (SNAP-HT),10.1186/s13063-020-04394-z,UK,"semi-structured interviews, thematic analysis, framework approach","Yes; qualitative data was used to explore women's experiences and perceptions of postpartum hypertension self-management through semi-structured interviews analyzed thematically using a framework approach, complementing quantitative data from the trial.",Not mentioned,No,Not applicable
A qualitative study exploring participants experiences of the Mental Imagery for Suicidality in Students Trial,10.1111/papt.12547,UK,"interviews, reflexive thematic analysis","Yes; qualitative data was used through one-to-one interviews with participants and staff, analyzed via reflexive thematic analysis to explore experiences and inform future trials.",Not mentioned,No,Not applicable
Improving Lynch syndrome detection: a mixed-methods process evaluation of a hybrid type III effectiveness-implementation trial,10.1186/s12913-024-11857-5,Australia,"Interviews, focus groups, thematic analysis, case studies, observations","Yes; qualitative data was used to explore contextual determinants, identify mechanisms of action, and understand how and why change occurred through interviews, focus groups, observations, and case studies alongside the clinical trial.",Not mentioned,No,Not applicable
Teenage recommendations to improve physical activity for their age group: a qualitative study,10.1186/s12889-018-5274-3,UK,"Focus groups, Thematic analysis",Yes; qualitative data was used to gather teenagers' recommendations on improving physical activity through focus groups and thematic analysis to identify key themes and barriers from their perspective.,Not mentioned,No,Not applicable
Implementation and acceptability of a heart attack quality improvement intervention in India: a mixed methods analysis of the ACS QUIK trial,10.1186/s13012-019-0857-7,India,"Semi-structured interviews, focus group discussions, online surveys, framework analysis","Yes; qualitative data was used to develop the intervention through interviews and focus groups, and to evaluate implementation and acceptability via physician interviews and surveys analyzed with framework analysis.","Time and staff constraints, Internet access, patient volume, inadequate understanding of the intervention",No,Not applicable
The DEsire to DIe in Palliative care: Optimization of Management (DEDIPOM)a study protocol,10.1186/s12904-018-0279-3,Germany,"Semi-structured interviews, Delphi process","Yes; qualitative data was used to revise and reach consensus on a clinical interview schedule through semi-structured interviews with patients and a Delphi process with experts, patient representatives, and relatives, as well as qualitative evaluation of interview triads of patients, relatives, and health practitioners to assess the intervention's impact.",Not mentioned,No,Not applicable
Choosing and evaluating randomisation methods in clinical trials: a qualitative study,10.1186/s13063-024-08005-z,UK,"focus groups, thematic analysis",Yes; qualitative data was used to explore researchers' motivations behind choosing randomisation methods and to identify key features for evaluating these methods through online focus groups and thematic analysis of transcripts.,Not mentioned,No,Not applicable
A critical realist evaluation of a music therapy intervention in palliative care,10.1186/s12904-017-0253-5,UK,"open text answers, focus groups, interviews","Yes; qualitative data was used to explore patient and practitioner experiences and perspectives on music therapy, identifying mechanisms and contextual factors influencing its effectiveness.",Not mentioned,No,Not applicable
A mixed methods randomised control trial to evaluate the effectiveness of the journey to social inclusion phase 2 intervention for chronically homeless adults: study protocol,10.1186/s12889-019-6644-1,Australia,Semi-structured interviews,Yes; qualitative data was used through semi-structured interviews conducted with a subset of participants and service providers at three time-points to explore changes in key outcome variables and individual experiences with the intervention and standard service provision.,Not mentioned,No,Not applicable
